,MedInc,HouseAge,TotalRooms,TotalBedRooms,Population,Households,Latitude,Longitude,MedHouseVal
10985,3.0958,25.0,2720.0,680.0,1559.0,631.0,33.74,-117.82,1.378
11212,2.3843,29.0,1444.0,326.0,1038.0,271.0,33.82,-117.91,1.829
13707,3.6853,32.0,1677.0,354.0,1021.0,339.0,34.12,-117.21,0.909
2332,3.9943,7.0,2075.0,353.0,1040.0,362.0,36.83,-119.69,1.002
15711,4.0882,52.0,2083.0,491.0,1224.0,483.0,37.79,-122.44,4.688
15379,2.3214,6.0,3725.0,960.0,2833.0,915.0,33.36,-117.25,2.47
8252,1.918,44.0,2364.0,746.0,3184.0,672.0,33.78,-118.17,1.475
18419,5.1356,10.0,3030.0,574.0,1623.0,589.0,37.26,-121.82,2.187
13652,2.5187,18.0,1837.0,388.0,727.0,336.0,34.04,-117.33,1.167
10118,5.583,27.0,4566.0,620.0,2045.0,664.0,33.94,-117.92,2.677
16148,4.1856,52.0,2042.0,378.0,1153.0,408.0,37.78,-122.47,4.047
18870,2.2734,47.0,2161.0,440.0,966.0,360.0,38.09,-122.22,0.887
20210,6.9483,18.0,1713.0,244.0,690.0,239.0,34.3,-119.23,4.043
11167,5.2657,35.0,1484.0,252.0,916.0,248.0,33.83,-117.99,1.914
1246,3.017,52.0,224.0,38.0,120.0,45.0,39.25,-122.08,1.125
3224,2.9936,12.0,2739.0,535.0,1859.0,498.0,36.31,-119.68,0.606
18076,9.8937,29.0,3752.0,468.0,1320.0,471.0,37.28,-122.03,5.00001
19699,3.8534,21.0,2693.0,481.0,1337.0,435.0,39.09,-121.62,0.997
16295,2.625,36.0,811.0,168.0,514.0,152.0,37.95,-121.23,0.892
15305,1.8214,23.0,4104.0,1274.0,4729.0,1187.0,33.19,-117.37,1.738
8862,8.0095,52.0,1213.0,194.0,503.0,194.0,34.06,-118.39,5.00001
2469,2.0313,17.0,1497.0,308.0,1425.0,247.0,36.57,-119.97,0.694
8912,3.1635,30.0,2075.0,687.0,1026.0,592.0,34.02,-118.49,3.667
13509,2.125,29.0,1494.0,286.0,991.0,280.0,34.13,-117.34,0.706
6247,3.5179,36.0,1299.0,206.0,763.0,216.0,34.05,-117.97,1.614
20548,1.3942,38.0,674.0,178.0,701.0,189.0,38.68,-121.76,0.694
6332,6.7978,24.0,1219.0,177.0,610.0,185.0,33.99,-117.95,3.25
18183,3.6765,42.0,1125.0,273.0,616.0,258.0,37.37,-122.04,2.528
18670,4.8953,21.0,4117.0,752.0,2001.0,763.0,36.98,-121.88,2.895
18948,5.4399,4.0,8778.0,1291.0,4010.0,1188.0,38.29,-121.98,1.871
